employer_name,employee_city,employee_state,regular_hourly_rate_parsed_counts
Costco Wholesale Corporation,San Diego,CA,"{""29.9"": 1}"
Costco Wholesale Corporation,San Jose,CA,"{""21.5"": 1}"
Costco Wholesale Corporation,Temecula,CA,"{""20.5"": 1}"
Costco Wholesale Corporation,Turlock,CA,"{""29.2"": 1}"
Costco Wholesale Corporation,Aurora,CO,"{""19.5"": 1}"
Costco Wholesale Corporation,Denver,CO,"{""20.5"": 1, ""21.5"": 1}"
Costco Wholesale Corporation,Federal Heights,CO,"{""29.2"": 1}"
Costco Wholesale Corporation,Westminster,CO,"{""19.0"": 1}"
Costco Wholesale Corporation,Sarasota,FL,"{""22.0"": 1}"
Costco Wholesale Corporation,Decatur,GA,"{""22.0"": 1}"
Costco Wholesale Corporation,Berwyn,IL,"{""29.9"": 1}"
Costco Wholesale Corporation,Burbank,IL,"{""19.5"": 1}"
Costco Wholesale Corporation,Champaign,IL,"{""19.5"": 1, ""20.5"": 1}"
Costco Wholesale Corporation,Chicago,IL,"{""29.3"": 1}"
Costco Wholesale Corporation,Louisville,KY,"{""22.5"": 1}"
Costco Wholesale Corporation,Youngsville,LA,"{""18.5"": 1}"
Costco Wholesale Corporation,Jamestown,NC,"{""32.4"": 1}"
Costco Wholesale Corporation,Woodland Park,NJ,"{""29.2"": 1}"
Costco Wholesale Corporation,Henderson,NV,"{""20.5"": 1}"
Costco Wholesale Corporation,Island Park,NY,"{""26.5"": 1}"
Costco Wholesale Corporation,Rochester,NY,"{""22.0"": 1}"
Costco Wholesale Corporation,Uniondale,NY,"{""22.5"": 1}"
Costco Wholesale Corporation,Massillon,OH,"{""19.5"": 1}"
Costco Wholesale Corporation,Oklahoma City,OK,"{""23.0"": 1}"
Costco Wholesale Corporation,Tigard,OR,"{""34.9"": 1}"
Costco Wholesale Corporation,Magnolia,TX,"{""23.5"": 1, ""24.5"": 1}"
Costco Wholesale Corporation,Rhome,TX,"{""18.5"": 1}"
Costco Wholesale Corporation,East Wenatchee,WA,"{""29.2"": 1, ""30.9"": 1}"
Costco Wholesale Corporation,Kennewick,WA,"{""23.0"": 1}"
Costco Wholesale Corporation,Shoreline,WA,"{""18.5"": 1}"
"DOLGENCORP, LLC",Monroeville,AL,"{""9.5"": 1}"
"DOLGENCORP, LLC",Americus,GA,"{""51694.0"": 1}"
"DOLGENCORP, LLC",Gladwin,MI,"{""16.5"": 1}"
"DOLGENCORP, LLC",Burnsville,MS,"{""16.5"": 1}"
"DOLGENCORP, LLC",Charlotte,NC,"{""15.0"": 1}"
"DOLGENCORP, LLC",Mooresboro,NC,"{""14.0"": 1}"
"DOLGENCORP, LLC",Erie,PA,"{""16.75"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Mabelvale,AR,"{""16.5"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,San Francisco,CA,"{""22.0"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Aurora,CO,"{""19.89"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Washington DC,DC,"{""18.5"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Boynton Beach,FL,"{""16.48"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Miami,FL,"{""16.48"": 1, ""17.0"": 1, ""24.16"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Naples,FL,"{""18.29"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Plantation,FL,"{""32.21"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Buford,GA,"{""20.0"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Chicago,IL,"{""19.0"": 1, ""19.5"": 1}"
FEDEX OFFICE & PRINT SERVICES INC,Matteson,IL,"{""16.5"": 1}"
